game_id,hits,multiplication,answer,result
21,0,6 x 8,0,48
22,0,6 x 9,0,54
23,0,10 x 5,0,50
24,0,7 x 7,0,49
25,0,10 x 1,0,10
26,0,7 x 1,0,7
27,2,4 x 13,71,52
28,0,3 x 5,0,15
29,0,1 x 1,0,1
30,0,0 x 4,0,0
31,0,10 x 11,11,110
32,0,4 x 10,0,40
33,4,5 x 9,0,45
34,7,7 x 4,69,28
35,5,2 x 2,0,4
36,0,8 x 6,0,48
37,1,3 x 8,0,24
38,4,7 x 14,85,98
39,2,6 x 5,0,30
40,10,8 x 14,0,112
41,0,5 x 7,0,35
42,1,4 x 12,0,48
43,0,2 x 5,0,10
44,14,5 x 7,45,35
45,0,0 x 3,0,0
46,8,1 x 2,1,2
47,3,5 x 4,0,20
48,5,5 x 12,42,60
49,0,10 x 2,82,20
50,1,5 x 15,27,75
51,0,9 x 1,0,9
52,1,10 x 3,35,30
53,2,9 x 15,0,135
54,0,3 x 2,0,6
55,7,6 x 11,92,66
56,8,7 x 8,12,56
57,2,4 x 4,37,16
58,5,8 x 9,32,72
59,3,8 x 6,0,48
60,1,3 x 14,0,42
61,2,4 x 3,0,12
62,1,9 x 0,0,0
63,1,4 x 5,0,20
64,1,3 x 8,16,24
65,6,8 x 9,0,72
66,0,4 x 13,0,52
67,5,8 x 12,40,96
68,0,7 x 5,36,35
69,2,2 x 8,0,16
70,2,9 x 8,60,72
71,6,9 x 9,0,81
72,3,4 x 15,25,60
73,4,3 x 14,67,42
74,0,0 x 0,0,0
75,0,6 x 3,0,18
76,5,5 x 6,0,30
77,0,8 x 9,0,72
78,4,1 x 9,72,9
79,1,6 x 9,98,54
80,1,8 x 4,64,32
81,3,6 x 2,10,12
82,0,5 x 2,40,10
83,5,0 x 9,0,0
84,0,2 x 7,36,14
85,1,9 x 2,12,18
86,1,4 x 8,0,32
87,13,4 x 14,0,56
88,1,9 x 2,28,18
89,2,4 x 8,42,32
90,1,3 x 13,34,39
91,3,5 x 13,59,65
92,0,6 x 4,61,24
93,2,1 x 1,0,1
94,1,3 x 3,0,9
95,3,8 x 4,25,32
96,9,6 x 6,28,36
97,3,7 x 13,54,91
98,0,6 x 1,0,6
99,0,4 x 13,0,52
100,2,8 x 3,63,24
